image_id,baseline_run_number,extraction_run_number,image_file,caption,model,temperature,timestamp_utc,generation_time_seconds,attempts,csr,raw_output,status,error
test_001,1,1,test_001.png,A brown dog runs through a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-01T17:00:43.474538+00:00,14.926,3,,,error,"Semantic extraction failed after 3 attempts: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1788307200000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3IjWbdFHhB7b0j6QVQtcJnXC1gw'}"
test_001,1,2,test_001.png,A brown dog runs through a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-01T17:00:53.605444+00:00,10.108,3,,,error,"Semantic extraction failed after 3 attempts: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1788307200000'}, 'limit_source': 'openrouter_free_tier_daily', 'remedy_hint': 'Wait for the daily reset (see X-RateLimit-Reset), or purchase credits to raise your free-model daily limit.', 'provider_name': None}}, 'user_id': 'user_3IjWbdFHhB7b0j6QVQtcJnXC1gw'}"
test_001,1,1,test_001.png,A brown dog runs through a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:21:37.986534+00:00,69.111,2,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e1', 'relation': 'through', 'object': 'e2'}, {'subject': 'e2', 'relation': 'dotted_with', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['field']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e1"",
            ""relation"": ""through"",
            ""object"": ""e2""
        },
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted_with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""field""]
    }
}",success,
test_001,1,2,test_001.png,A brown dog runs through a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:22:25.874932+00:00,47.862,2,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'has', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['green field', 'yellow flowers']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""has"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""green field"", ""yellow flowers""]
    }
}",success,
test_001,1,3,test_001.png,A brown dog runs through a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:23:05.760464+00:00,39.879,1,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e1', 'relation': 'through', 'object': 'e2'}, {'subject': 'e2', 'relation': 'dotted_with', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['field', 'flowers']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e1"",
            ""relation"": ""through"",
            ""object"": ""e2""
        },
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted_with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""field"", ""flowers""]
    }
}",success,
test_001,2,1,test_001.png,A brown dog runs across a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:23:30.457069+00:00,24.689,1,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'dotted with', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['field']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""field""]
    }
}",success,
test_001,2,2,test_001.png,A brown dog runs across a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:24:30.307856+00:00,59.845,2,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'dotted_with', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['green field', 'yellow flowers']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted_with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""green field"", ""yellow flowers""]
    }
}",success,
test_001,2,3,test_001.png,A brown dog runs across a green field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:24:52.836214+00:00,22.517,1,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['brown']}, {'id': 'e2', 'type': 'field', 'attributes': ['green']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'dotted with', 'object': 'e3'}], 'scene': {'location': 'green field', 'environment': ['field']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""brown""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""green""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": ""green field"",
        ""environment"": [""field""]
    }
}",success,
test_001,3,1,test_001.png,A tan dog runs through a grassy field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:25:21.464935+00:00,28.62,2,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['tan']}, {'id': 'e2', 'type': 'field', 'attributes': ['grassy']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'dotted_with', 'object': 'e3'}], 'scene': {'location': 'grassy field', 'environment': ['grassy', 'field']}}","{
 ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""tan""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""grassy""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted_with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": ""grassy field"",
        ""environment"": [""grassy"", ""field""]
    }
}",success,
test_001,3,2,test_001.png,A tan dog runs through a grassy field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:25:51.001395+00:00,29.528,2,"{'entities': [{'id': 'e1', 'type': 'dog', 'attributes': ['tan']}, {'id': 'e2', 'type': 'field', 'attributes': ['grassy']}, {'id': 'e3', 'type': 'flower', 'attributes': ['yellow']}], 'actions': [{'subject': 'e1', 'action': 'run', 'object': 'e2'}], 'relations': [{'subject': 'e2', 'relation': 'dotted with', 'object': 'e3'}], 'scene': {'location': None, 'environment': ['outdoor', 'grassy', 'field', 'flowers']}}","{
    ""entities"": [
        {
            ""id"": ""e1"",
            ""type"": ""dog"",
            ""attributes"": [""tan""]
        },
        {
            ""id"": ""e2"",
            ""type"": ""field"",
            ""attributes"": [""grassy""]
        },
        {
            ""id"": ""e3"",
            ""type"": ""flower"",
            ""attributes"": [""yellow""]
        }
    ],
    ""actions"": [
        {
            ""subject"": ""e1"",
            ""action"": ""run"",
            ""object"": ""e2""
        }
    ],
    ""relations"": [
        {
            ""subject"": ""e2"",
            ""relation"": ""dotted with"",
            ""object"": ""e3""
        }
    ],
    ""scene"": {
        ""location"": null,
        ""environment"": [""outdoor"", ""grassy"", ""field"", ""flowers""]
    }
}",success,
